Ido_mp,UA_X,UA_Y,UA_Z,FA_X,FA_Y,FA_Z,H_X,H_Y,H_Z
4.1296329,5.26761635404974,3.69765566393628,5.13447605529447,18.2320459172231,-1.3124034515336,-45.7689450078284,-18.2285275820216,-8.63347039691232,-7.23383125343246
4.1635763,5.28714564377504,3.68104473527933,5.17569766654086,18.2442575099735,-1.30693051331638,-45.7637909485598,-18.2388545139968,-8.64382003445483,-7.22610122063641
4.1943503,5.29952871459768,3.68990157690508,5.16092093908535,18.2371903625409,-1.30834782132991,-45.7518827371054,-18.257196562384,-8.65538698828587,-7.22920359863896
4.2282032,5.31220709466096,3.71128824684475,5.12608846884256,18.203570665243,-1.28746633544303,-45.7546222509012,-18.2307164485666,-8.68658346339942,-7.22506311123363
4.3022028,5.28119168985623,3.75801988138828,5.0607997011472,18.2263482032529,-1.23731507091023,-45.7632995372788,-18.2198365092358,-8.69964834037267,-7.19556833298122
4.3650987,5.24507866103105,3.80039264308786,5.02528917987043,18.2301465315005,-1.25679153284624,-45.8053107326656,-18.2263705412979,-8.63727898746253,-7.17808581417759
4.4111441,5.26884782320258,3.76586515296301,5.09807792109567,18.274131067977,-1.26060314263162,-45.8340873490212,-18.2724076727768,-8.64542813933641,-7.12024418983897
4.4575212,5.30709099209036,3.78283753486569,5.1010205433073,18.2657054442703,-1.28355558860224,-45.8349278622863,-18.2379577693933,-8.63809970660835,-7.11751395609959
4.5048943,5.29546771403142,3.80170359339774,5.0256516483862,18.2284331102074,-1.29480035499651,-45.8374957839011,-18.2398689626147,-8.60596650213738,-7.13179194469191
4.5530208,5.28310588017798,3.84477541990332,5.01625642183603,18.2805571359407,-1.27602429183485,-45.8738051879139,-18.2394005181978,-8.60354511557522,-7.07670865932398
4.5862073,5.29808812946812,3.80421059367826,5.04939783129501,18.2895445362033,-1.26067490688738,-45.8685923738613,-18.2639353389561,-8.62491881828151,-7.06403830961247
4.6467494,5.31388776721688,3.80618846409088,5.04781494754594,18.2780460171865,-1.22409810717687,-45.8678250687685,-18.2607424236013,-8.65389656936531,-7.04568015767622
4.6935436,5.2851012323243,3.78490871151778,5.0824281718244,18.3053374534923,-1.21891453006767,-45.8981185884799,-18.2728075082962,-8.65292008297799,-7.01596972071639
4.7461459,5.25800872881242,3.77522881524524,5.0936714365688,18.279720182816,-1.25908004145981,-45.904748009333,-18.2611758522195,-8.6476870989397,-7.02318249987404
4.7962297,5.27435614628316,3.76789007644058,5.13567309054078,18.2616424547412,-1.25564198030109,-45.8941745969469,-18.269124690466,-8.66552143997525,-7.02742256728014
4.8428502,5.25950936974477,3.73422089105474,5.15729817975842,18.209168035764,-1.22171935147983,-45.8708284748406,-18.2085055283458,-8.69653177594581,-7.04844414908467
4.8830579,5.27161036252873,3.71103531456675,5.24094794017601,18.237912325981,-1.29438231176132,-45.899792928952,-18.2583216804726,-8.66978599690593,-7.04816543674392
4.916825,5.25635136521545,3.66500730063153,5.31230763596944,18.2569031983624,-1.27057931702119,-45.9027863980464,-18.2711437069716,-8.667588218742,-7.03459984276667
4.9637561,5.22531737489999,3.70882593158175,5.28939285197327,18.2742759919787,-1.2655874943447,-45.9094118551684,-18.2684693113999,-8.67209341864872,-7.0113479791913
